NPC Name:|ArtifactMerchant_1, ||||
ID|Английский|Французский|Немецкий|Испанский|Итальянский
m1|Гость? Добро пожаловать, добро пожаловать. ##<<Мужчина раздувает ноздри, осматривая вас с головы до ног.>>||||
m2|Я бы предложил вам сесть, но... эти стулья ужасно дорогие. Полагаю, вы здесь по поводу предложения о работе?||||
p1|Я здесь по поводу работы.||||
m3|Да, да - я так и думал. Ваш наряд определенно подходит для... физического труда, связанного с заданием. ##<<Он вытирает лоб платком, как будто мысль о вашем наряде его угнетает.>>||||
p2|Что это за работа?||||
m4|Вы хотите сказать... вы просто пришли обменяться любезностями?##<<Он сглатывает, явно испытывая отвращение при этой мысли.>>||||
p3|Расскажите о себе.||||
m5|Обо мне? Ну, я уверен, вы уже многое слышали. Я Вернон Бервиг из Гильдии Крылатых Торговцев. Посетите лавки в Хэллоу, и вы не найдете ни одного зелья или травы, которые бы не прошли через мои суда на пути сюда.||||
p4|Вообще-то, я уже ухожу.||||
m6|Задача состоит в том, чтобы найти мое торговое судно - [[Золотой Тифос]] - и вернуть его ((груз)).##Это великолепный корабль, построенный из крепчайшего лундельского дуба; я не могу представить, что он мог потерпеть крушение. ||||
m7|Его капитан - не кто иной, как [[Уолтер Сесил]], который нанес на карту многие из самых отдаленных островов Союза Вероотступников и известен своим характером.##Мятеж, следовательно, исключен.||||
m8|Курс был проложен к руинам Пигута, к югу от Хэллоу.##Тифос должен был вернуться неделю назад. Я начинаю волноваться.||||
m9|Корабль и команда не имеют значения; важен только [[груз]]. Верните его мне, и я щедро вас вознагражу.||||
p5|Расскажите о капитане корабля.||||
m10|Я нанял [[Уолтера Сесила]] за целое состояние. Его подвиги хорошо задокументированы.##Говорят, что, исследуя далекие земли, его корабль победил небесного бога... хотя, между нами, это, скорее всего, была очень большая рыба. ||||
m11|Тем не менее, он один из самых надежных капитанов в Союзе. Его репутация безупречна.||||
p6|Что за груз он перевозит?||||
m12|Боюсь... я просто не могу сказать. Вы понимаете, что в рамках законов Союза Вероотступников есть определенные товары, которые... ((подвергаются несправедливому контролю.)) ||||
m13|Достаточно сказать, что в этом грузе нет ничего опасного или непристойного. Но давайте не будем говорить об этом дальше. ||||
p7|Я дам вам знать, если найду ваш корабль. До свидания. ||||
fm1|О, что это - новый товарищ для наших песен? Эй, хотите выпить?||||
p8|Не откажусь.||||
fm2|Вот это дух. Пейте до дна.##<<Он протягивает вам пустую, пыльную бутылку.>>||||
p9|Это же Тифос, не так ли? Вы заблудились. ||||
fm3|Заблудились? Нет, мы только что отплыли. Мы вернемся в Хэллоу через день или два.||||
p10|Но вы должны были вернуться неделю назад.||||
fm4|Неделю назад? Вы спятили. Мы неделю назад даже не отплывали. Я был еще на берегу с дочерью.||||
p11|Разве вы не видите? Вы все мертвы.||||
fm5|Мертвы? Ха! Вы настоящий шутник.||||
c1|Эй, ты. Принеси еще рома с нижних палуб. Приказ капитана!||||
p12|Вы капитан Золотого Тифоса?||||
c2|Ты не знаешь своего капитана? Уолтер Сесил, который нанес на карту дальние земли и убил младшего бога? Ба! В карцер с тобой.||||
p13|Я здесь от имени вашего работодателя. Груз опаздывает.||||
c3|Опаздывает? Мы идем по графику! Груз в трюме, цел и невредим. Бервиг получит свой артефакт.||||
p14|Вы действительно убили бога?||||
c4|Один из скептиков, да?##Конечно, это могло быть похоже на большую рыбу, но вы не смотрели в эти глаза. Это были мощные глаза, друг мой - ((мощные глаза))...||||
p15|Думаю, вам хватит рома. Прощайте.||||
m20|А, вы вернулись. Как... приятно.||||
m20alt|А, я слышал о вас. Вы были на моем корабле, [[Золотой Тифос]], верно?##Там был ((драгоценный груз)), который мне нужно вернуть.||||
m21|Скажите, вы нашли груз [[Золотого Тифоса]]?||||
m21alt|Вы же... не нашли его, да...?||||
p20|У меня здесь [[груз]].||||
m22|Отлично, отлично. О, как он сияет красотой! Разве это не самое великолепное, самое яркое, что вы когда-либо видели? Да, это стоило ожидания. ||||
p21|Экипаж вашего корабля мертв.||||
m23|Меня не интересуют мелочи. Путешествие было успешным. Вы имеете мою искреннюю благодарность. ||||
p22|А что насчет моего вознаграждения?||||
m24|Хммм... Что? Вознаграждение? Да, да - дайте мне немного времени, чтобы собрать средства. Вернитесь скоро, и вы получите полную оплату.||||
p23|Можете снова рассказать о работе?||||
p24|Я все еще ищу. Прощайте.||||
